word,condition,run,stimFile
wysiłek,ABS,1,resources/audio/abs_run1_001.wav
przyjaźń,ABS,1,resources/audio/abs_run1_002.wav
wada,ABS,1,resources/audio/abs_run1_003.wav
racja,ABS,1,resources/audio/abs_run1_004.wav
termin,ABS,1,resources/audio/abs_run1_005.wav
granica,ABS,1,resources/audio/abs_run1_006.wav
tragedia,ABS,1,resources/audio/abs_run1_007.wav
przewaga,ABS,1,resources/audio/abs_run1_008.wav
nadzieja,ABS,1,resources/audio/abs_run1_009.wav
złość,ABS,1,resources/audio/abs_run1_010.wav
początek,ABS,1,resources/audio/abs_run1_011.wav
niepewność,ABS,1,resources/audio/abs_run1_012.wav
pozycja,ABS,1,resources/audio/abs_run1_013.wav
ego,ABS,1,resources/audio/abs_run1_014.wav
braterstwo,ABS,1,resources/audio/abs_run1_015.wav
mówienie,ABS,1,resources/audio/abs_run1_016.wav
idiota,ABS,1,resources/audio/abs_run1_017.wav
gościnność,ABS,1,resources/audio/abs_run1_018.wav
nazwa,ABS,1,resources/audio/abs_run1_019.wav
zwycięzca,ABS,1,resources/audio/abs_run1_020.wav
ambicja,ABS,1,resources/audio/abs_run1_021.wav
zagadka,ABS,1,resources/audio/abs_run1_022.wav
szok,ABS,1,resources/audio/abs_run1_023.wav
zysk,ABS,1,resources/audio/abs_run1_024.wav
