word,condition,run,stimFile
<BASELINE>,BASE,2,resources/audio/base_run2_001.wav
<BASELINE>,BASE,2,resources/audio/base_run2_002.wav
<BASELINE>,BASE,2,resources/audio/base_run2_003.wav
<BASELINE>,BASE,2,resources/audio/base_run2_004.wav
<BASELINE>,BASE,2,resources/audio/base_run2_005.wav
<BASELINE>,BASE,2,resources/audio/base_run2_006.wav
<BASELINE>,BASE,2,resources/audio/base_run2_007.wav
<BASELINE>,BASE,2,resources/audio/base_run2_008.wav
<BASELINE>,BASE,2,resources/audio/base_run2_009.wav
<BASELINE>,BASE,2,resources/audio/base_run2_010.wav
<BASELINE>,BASE,2,resources/audio/base_run2_011.wav
<BASELINE>,BASE,2,resources/audio/base_run2_012.wav
<BASELINE>,BASE,2,resources/audio/base_run2_013.wav
<BASELINE>,BASE,2,resources/audio/base_run2_014.wav
<BASELINE>,BASE,2,resources/audio/base_run2_015.wav
<BASELINE>,BASE,2,resources/audio/base_run2_016.wav
<BASELINE>,BASE,2,resources/audio/base_run2_017.wav
<BASELINE>,BASE,2,resources/audio/base_run2_018.wav
<BASELINE>,BASE,2,resources/audio/base_run2_019.wav
<BASELINE>,BASE,2,resources/audio/base_run2_020.wav
<BASELINE>,BASE,2,resources/audio/base_run2_021.wav
<BASELINE>,BASE,2,resources/audio/base_run2_022.wav
<BASELINE>,BASE,2,resources/audio/base_run2_023.wav
<BASELINE>,BASE,2,resources/audio/base_run2_024.wav
