word,condition,run,stimFile
rakieta,CON,1,resources/audio/con_run1_001.wav
prysznic,CON,1,resources/audio/con_run1_002.wav
owca,CON,1,resources/audio/con_run1_003.wav
woda,CON,1,resources/audio/con_run1_004.wav
lustro,CON,1,resources/audio/con_run1_005.wav
makaron,CON,1,resources/audio/con_run1_006.wav
sukienka,CON,1,resources/audio/con_run1_007.wav
kiełbasa,CON,1,resources/audio/con_run1_008.wav
kapelusz,CON,1,resources/audio/con_run1_009.wav
chleb,CON,1,resources/audio/con_run1_010.wav
maszyna,CON,1,resources/audio/con_run1_011.wav
jaszczurka,CON,1,resources/audio/con_run1_012.wav
herbata,CON,1,resources/audio/con_run1_013.wav
oczy,CON,1,resources/audio/con_run1_014.wav
podbródek,CON,1,resources/audio/con_run1_015.wav
rewolwer,CON,1,resources/audio/con_run1_016.wav
autobus,CON,1,resources/audio/con_run1_017.wav
nadgarstek,CON,1,resources/audio/con_run1_018.wav
skóra,CON,1,resources/audio/con_run1_019.wav
długopis,CON,1,resources/audio/con_run1_020.wav
stodoła,CON,1,resources/audio/con_run1_021.wav
zasłony,CON,1,resources/audio/con_run1_022.wav
wilk,CON,1,resources/audio/con_run1_023.wav
kosz,CON,1,resources/audio/con_run1_024.wav
