block_type,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,wait_for_trigger.started,trigger_key.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,block_start.started,block_instr_text.started,block_start.stopped,block_instr_key.keys,block_instr_key.rt,block_instr_key.duration,trial.started,fixation.started,stim_sound.started,stim_sound.stopped,resp.started,resp_prompt.started,fixation.stopped,trial.stopped,resp.keys,resp.stopped,resp_prompt.stopped,end.started,end_text.started,end_key.started,end.stopped,end_key.keys,end_key.rt,end_key.duration,participant,run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.0117995000036899,0.012379200008581392,0.012398400009260513,0.029927499999757856,1.0317259000003105,s,1.0001845999940997,None,,,,,,,,,,,,,,,,,,,,,,,,,pilot01,1,2025-12-30_12h40.35.475,auditory_semantic_1back_pilot,2023.2.3,60.084454709101834,2025-12-30 12h40.42.315046 +0100,
BASE,0,0,0,0,0,0,0,0,1.895479000013438,,,,,,,,,,1.0364792000036687,1.0951567000010982,1.864813200008939,space,0.7522903000062797,None,1.8662142000102904,1.895479000013438,0.009647799990489148,0.9983357000019168,2.928644200001145,2.928644200001145,2.9469659000023967,4.880155100006959,None,,,,,,,,,,pilot01,1,2025-12-30_12h40.35.475,auditory_semantic_1back_pilot,2023.2.3,60.084454709101834,2025-12-30 12h40.42.315046 +0100,
BASE,0,0,0,0,1,0,1,0,4.8966603000008035,,,,,,,,,,,,,,,,4.880861400000867,4.8966603000008035,0.022007199993822724,1.015447600002517,5.880205699999351,5.880205699999351,5.8967890000058105,7.864452600013465,None,7.8799028000066755,7.8799028000066755,,,,,,,,pilot01,1,2025-12-30_12h40.35.475,auditory_semantic_1back_pilot,2023.2.3,60.084454709101834,2025-12-30 12h40.42.315046 +0100,
BASE,0,0,0,0,2,0,2,0,7.8799028000066755,,,,,,,,,,,,,,,,7.864874600010808,7.8799028000066755,0.005672599989338778,0.9976769999921089,8.928542500012554,8.928542500012554,8.928542500012554,10.87995210000372,None,,,,,,,,,,pilot01,1,2025-12-30_12h40.35.475,auditory_semantic_1back_pilot,2023.2.3,60.084454709101834,2025-12-30 12h40.42.315046 +0100,
BASE,0,0,0,0,3,0,3,0,10.896717100011301,,,,,,,,,,,,,,,,10.880570799999987,10.896717100011301,0.021728099993197247,1.0154482999932952,11.880266700012726,11.880266700012726,11.91172170000209,13.863857200005441,None,13.879694700008258,13.879694700008258,,,,,,,,pilot01,1,2025-12-30_12h40.35.475,auditory_semantic_1back_pilot,2023.2.3,60.084454709101834,2025-12-30 12h40.42.315046 +0100,
BASE,0,0,0,0,4,0,4,0,13.879694700008258,,,,,,,,,,,,,,,,13.864242900002864,13.879694700008258,0.005146199997398071,0.998389499989571,14.895072200000868,14.895072200000868,14.895072200000868,16.880572800000664,None,,,,,,,,,,pilot01,1,2025-12-30_12h40.35.475,auditory_semantic_1back_pilot,2023.2.3,60.084454709101834,2025-12-30 12h40.42.315046 +0100,
BASE,0,0,0,0,5,0,5,0,16.896662600003765,,,,,,,,,,,,,,,,16.88115870000911,16.896662600003765,0.02303689999098424,1.0154991000017617,17.880122400005348,17.880122400005348,17.896901300002355,19.86494070000481,None,19.879789900005562,19.879789900005562,,,,,,,,pilot01,1,2025-12-30_12h40.35.475,auditory_semantic_1back_pilot,2023.2.3,60.084454709101834,2025-12-30 12h40.42.315046 +0100,
BASE,0,0,0,0,6,0,6,0,19.879789900005562,,,,,,,,,,,,,,,,19.86542850000842,19.879789900005562,0.007085899997036904,0.9992874000017764,20.94538360000297,20.94538360000297,20.94538360000297,22.88086910000129,None,,,,,,,,,,pilot01,1,2025-12-30_12h40.35.475,auditory_semantic_1back_pilot,2023.2.3,60.084454709101834,2025-12-30 12h40.42.315046 +0100,
BASE,0,0,0,0,7,0,7,0,22.912100200002897,,,,,,,,,,,,,,,,22.881525800010422,22.912100200002897,0.024483300003339536,1.0155608999921242,23.880313500005286,23.880313500005286,23.93031150000752,25.864403100000345,None,25.912174299999606,25.912174299999606,,,,,,,,pilot01,1,2025-12-30_12h40.35.475,auditory_semantic_1back_pilot,2023.2.3,60.084454709101834,2025-12-30 12h40.42.315046 +0100,
BASE,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot01,1,2025-12-30_12h40.35.475,auditory_semantic_1back_pilot,2023.2.3,60.084454709101834,2025-12-30 12h40.42.315046 +0100,
