block_type,word,condition,run,stimFile,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,instructions.started,instructions_text.started,instructions.stopped,instructions_key.keys,instructions_key.rt,instructions_key.duration,wait_for_trigger.started,trigger_key.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,dummy_TR.started,dummy_text.started,dummy_text.stopped,dummy_TR.stopped,block_start.started,block_instr_text.started,block_instr_text.stopped,block_start.stopped,block_onset,trial.started,trial_onset,trial_index1,is_first_in_block,stim_file_used,resp_prompt_text,fixation.started,stim_sound.started,fixation.stopped,resp_prompt.started,resp.started,resp_prompt.stopped,resp.stopped,trial.stopped,resp.keys,resp.rt,resp.duration,participant,run,date,expName,psychopyVersion,frameRate,expStart,
,,,1,,,,,,,,,,,,0.6718388000008417,0.6730035000000498,0.6730513000002247,0.7372042999995756,9.622565900001064,d,8.870075400000133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot01,1,2026-01-02_18h03.52.193,auditory_semantic_1back_pilot,2023.2.3,59.68894894916371,2026-01-02 18h04.03.211593 +0100,
,,,1,,,,,,,,,,,,,,,,,,,,9.622595500000898,9.638024800000494,11.857343600000604,s,2.2081354999991163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot01,1,2026-01-02_18h03.52.193,auditory_semantic_1back_pilot,2023.2.3,59.68894894916371,2026-01-02 18h04.03.211593 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,0,0,0,25.904039700000794,,,,,,,,,,,,,,,,11.857412000001204,11.871889699999883,17.887085300000763,17.842156599999726,17.850424700000076,19.87223240000094,25.904039700000794,25.85622990000047,1.1299998732283711e-05,25.863866200001212,8.013435400000162,1,1,resources/audio/base_run1.wav,DOWOLNY PRZYCISK,25.904039700000794,0.028230099998836522,27.3727815000002,27.3727815000002,27.3727815000002,28.855939600000056,28.855939600000056,28.84254350000083,d,0.17242269999951532,None,pilot01,1,2026-01-02_18h03.52.193,auditory_semantic_1back_pilot,2023.2.3,59.68894894916371,2026-01-02 18h04.03.211593 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,1,1,1,28.855939600000056,,,,,,,,,,,,,,,,,,,,,,,,1.1299998732283711e-05,28.84441549999974,10.993989200000215,2,0,resources/audio/base_run1.wav,DOWOLNY PRZYCISK,28.855939600000056,0.0029465999996318715,30.343495600000097,30.343495600000097,30.343495600000097,31.85551570000098,31.85551570000098,31.83912170000076,None,,,pilot01,1,2026-01-02_18h03.52.193,auditory_semantic_1back_pilot,2023.2.3,59.68894894916371,2026-01-02 18h04.03.211593 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,2,2,2,31.85551570000098,,,,,,,,,,,,,,,,,,,,,,,,1.1299998732283711e-05,31.839437500000713,13.989002700000128,3,0,resources/audio/base_run1.wav,DOWOLNY PRZYCISK,31.85551570000098,0.001433800000086194,33.3431657000001,33.3431657000001,33.3431657000001,34.86824290000004,34.86824290000004,34.834801200000584,None,,,pilot01,1,2026-01-02_18h03.52.193,auditory_semantic_1back_pilot,2023.2.3,59.68894894916371,2026-01-02 18h04.03.211593 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,3,3,3,34.86824290000004,,,,,,,,,,,,,,,,,,,,,,,,1.1299998732283711e-05,34.83619980000003,16.98578019999877,4,0,resources/audio/base_run1.wav,DOWOLNY PRZYCISK,34.86824290000004,0.005060800000137533,36.34017700000004,36.34017700000004,36.34017700000004,37.839572099999714,37.839572099999714,37.825427699999636,None,,,pilot01,1,2026-01-02_18h03.52.193,auditory_semantic_1back_pilot,2023.2.3,59.68894894916371,2026-01-02 18h04.03.211593 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,4,4,4,37.839572099999714,,,,,,,,,,,,,,,,,,,,,,,,1.1299998732283711e-05,37.826221799999985,19.9757998999994,5,0,resources/audio/base_run1.wav,DOWOLNY PRZYCISK,37.839572099999714,0.0037764000007882714,39.33960520000073,39.33960520000073,39.33960520000073,40.83963330000006,40.83963330000006,40.825455399999555,None,,,pilot01,1,2026-01-02_18h03.52.193,auditory_semantic_1back_pilot,2023.2.3,59.68894894916371,2026-01-02 18h04.03.211593 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,5,5,5,40.83963330000006,,,,,,,,,,,,,,,,,,,,,,,,1.1299998732283711e-05,40.82630539999991,22.975880199999665,6,0,resources/audio/base_run1.wav,DOWOLNY PRZYCISK,40.83963330000006,0.0032102000004670117,42.34086209999987,42.34086209999987,42.34086209999987,43.83989760000077,43.83989760000077,43.82626049999999,None,,,pilot01,1,2026-01-02_18h03.52.193,auditory_semantic_1back_pilot,2023.2.3,59.68894894916371,2026-01-02 18h04.03.211593 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,6,6,6,43.83989760000077,,,,,,,,,,,,,,,,,,,,,,,,1.1299998732283711e-05,43.82714980000128,25.976730899999893,7,0,resources/audio/base_run1.wav,DOWOLNY PRZYCISK,43.83989760000077,0.004400400001031812,45.34160610000072,45.34160610000072,45.34160610000072,46.83914530000038,46.83914530000038,46.823412600000665,None,,,pilot01,1,2026-01-02_18h03.52.193,auditory_semantic_1back_pilot,2023.2.3,59.68894894916371,2026-01-02 18h04.03.211593 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,7,7,7,46.83914530000038,,,,,,,,,,,,,,,,,,,,,,,,1.1299998732283711e-05,46.82396830000107,28.973538399999597,8,0,resources/audio/base_run1.wav,DOWOLNY PRZYCISK,46.83914530000038,0.002623299998958828,48.326149200000145,48.326149200000145,48.326149200000145,49.84546799999953,49.84546799999953,49.81323160000102,None,,,pilot01,1,2026-01-02_18h03.52.193,auditory_semantic_1back_pilot,2023.2.3,59.68894894916371,2026-01-02 18h04.03.211593 +0100,
,,,,,,,,,,,,,49.84546799999953,,,,,,,,,,,,,,,,,,,,,,,,1.1299998732283711e-05,49.814052800000354,31.96362979999867,9,0,resources/audio/base_run1.wav,DOWOLNY PRZYCISK,49.84546799999953,0.0035270000007585622,51.325135000000955,51.325135000000955,51.325135000000955,,,,,,,,,,,,,,
