block_type,word,condition,run,stimFile,instr_pages.thisRepN,instr_pages.thisTrialN,instr_pages.thisN,instr_pages.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,instructions.started,instructions_text.started,instructions.stopped,instructions_key.keys,instructions_key.rt,instructions_key.duration,wait_for_trigger.started,trigger_key.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,dummy_TR.started,dummy_text.started,dummy_text.stopped,dummy_TR.stopped,block_start.started,block_instr_text.started,block_instr_text.stopped,block_start.stopped,block_onset,trial.started,trial_onset,trial_index1,is_first_in_block,stim_file_used,resp_prompt_text,fixation.started,stim_sound.started,fixation.stopped,resp_prompt.started,resp.started,resp_prompt.stopped,resp.stopped,trial.stopped,resp.keys,participant,run,date,expName,psychopyVersion,frameRate,expStart,
,,,1,,0,0,0,0,,,,,,,,,0.9394948000008299,,0.8806659000001673,0.8818245000002207,0.8832738000019162,0.9394948000008299,2.7120968000017456,space,1.7700994000006176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot01,1,2026-01-02_18h42.38.110,auditory_semantic_1back_pilot,2023.2.3,60.32774859324976,2026-01-02 18h42.44.951135 +0100,
,,,1,,1,0,1,0,,,,,,,,,2.7881886000031955,,,,2.7129769000021042,2.7881886000031955,4.7440608000033535,space,1.9478070999975898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot01,1,2026-01-02_18h42.38.110,auditory_semantic_1back_pilot,2023.2.3,60.32774859324976,2026-01-02 18h42.44.951135 +0100,
,,,1,,2,0,2,0,,,,,,,,,4.789293100002396,,,,4.744800200001919,4.789293100002396,5.526870700003201,space,0.7310770000003686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot01,1,2026-01-02_18h42.38.110,auditory_semantic_1back_pilot,2023.2.3,60.32774859324976,2026-01-02 18h42.44.951135 +0100,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,5.527441199999885,5.5404177000018535,10.027244700002484,s,4.480353400002059,None,,,,,,,,,,,,,,,,,,,,,,,,,pilot01,1,2026-01-02_18h42.38.110,auditory_semantic_1back_pilot,2023.2.3,60.32774859324976,2026-01-02 18h42.44.951135 +0100,
CON,czar,CON,1,resources/audio/con_run1_001.wav,,,,,0,0,0,0,0,0,0,0,24.122652400001243,,,,,,,,,,,,,,,,10.02730110000266,10.041064100001677,16.15555460000178,16.025914400001056,16.03505060000316,18.04139320000104,24.122652400001243,24.02614970000286,9.400002454640344e-06,24.0556510000024,8.020605600002455,1,1,resources/audio/con_run1_001.wav,MNIEJSZY  ←        →  WIĘKSZY,24.122652400001243,0.07750859999941895,25.54172540000218,25.54172540000218,25.54172540000218,27.073338300000614,27.073338300000614,27.025904200003424,None,pilot01,1,2026-01-02_18h42.38.110,auditory_semantic_1back_pilot,2023.2.3,60.32774859324976,2026-01-02 18h42.44.951135 +0100,
CON,uczynek,CON,1,resources/audio/con_run1_002.wav,,,,,0,0,0,0,0,1,1,1,27.073338300000614,,,,,,,,,,,,,,,,,,,,,,,,9.400002454640344e-06,27.02676540000175,10.991718299999775,2,0,resources/audio/con_run1_002.wav,MNIEJSZY  ←        →  WIĘKSZY,27.073338300000614,0.024263600000267616,28.52709380000306,28.52709380000306,28.52709380000306,30.05712080000012,30.05712080000012,30.01153990000239,None,pilot01,1,2026-01-02_18h42.38.110,auditory_semantic_1back_pilot,2023.2.3,60.32774859324976,2026-01-02 18h42.44.951135 +0100,
CON,wizja,CON,1,resources/audio/con_run1_003.wav,,,,,0,0,0,0,0,2,2,2,30.05712080000012,,,,,,,,,,,,,,,,,,,,,,,,9.400002454640344e-06,30.01232130000062,13.9772739,3,0,resources/audio/con_run1_003.wav,MNIEJSZY  ←        →  WIĘKSZY,30.05712080000012,0.025511800002277596,31.526642200002243,31.526642200002243,31.526642200002243,33.057008900002984,33.057008900002984,33.01115920000302,None,pilot01,1,2026-01-02_18h42.38.110,auditory_semantic_1back_pilot,2023.2.3,60.32774859324976,2026-01-02 18h42.44.951135 +0100,
CON,wątek,CON,1,resources/audio/con_run1_004.wav,,,,,0,0,0,0,0,3,3,3,33.057008900002984,,,,,,,,,,,,,,,,,,,,,,,,9.400002454640344e-06,33.011829099999886,16.97678250000172,4,0,resources/audio/con_run1_004.wav,MNIEJSZY  ←        →  WIĘKSZY,33.057008900002984,0.02419250000093598,34.525630800002546,34.525630800002546,34.525630800002546,36.04032010000083,36.04032010000083,36.00958960000207,None,pilot01,1,2026-01-02_18h42.38.110,auditory_semantic_1back_pilot,2023.2.3,60.32774859324976,2026-01-02 18h42.44.951135 +0100,
CON,zero,CON,1,resources/audio/con_run1_005.wav,,,,,0,0,0,0,0,4,4,4,36.04032010000083,,,,,,,,,,,,,,,,,,,,,,,,9.400002454640344e-06,36.01024320000215,19.9751940999995,5,0,resources/audio/con_run1_005.wav,MNIEJSZY  ←        →  WIĘKSZY,36.04032010000083,0.017991599997913,37.50774960000126,37.50774960000126,37.50774960000126,39.040649600003235,39.040649600003235,38.994325100000424,None,pilot01,1,2026-01-02_18h42.38.110,auditory_semantic_1back_pilot,2023.2.3,60.32774859324976,2026-01-02 18h42.44.951135 +0100,
,,,,,,,,,,,,,,,,,39.040649600003235,,,,,,,,,,,,,,,,,,,,,,,,9.400002454640344e-06,38.994725800002925,22.959671299999172,6,0,resources/audio/con_run1_006.wav,MNIEJSZY  ←        →  WIĘKSZY,39.040649600003235,0.024728199998207856,,,,,,,,,,,,,,,
