block_type,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,wait_for_trigger.started,trigger_key.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,block_start.started,block_instr_text.started,block_start.stopped,block_instr_key.keys,block_instr_key.rt,block_instr_key.duration,trial.started,fixation.started,stim_sound.started,fixation.stopped,stim_sound.stopped,resp.started,resp_prompt.started,trial.stopped,resp.keys,resp.stopped,resp_prompt.stopped,resp.rt,resp.duration,end.started,end_text.started,end_key.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.01746659999480471,0.018056599990813993,0.018085299991071224,0.03525190000073053,8.2866165000014,s,8.234947899996769,None,,,,,,,,,,,,,,,,,,,,,,,,pilot08,1,2025-12-30_12h34.43.225,auditory_semantic_1back_pilot,2023.2.3,59.86235250560915,2025-12-30 12h34.58.776884 +0100,
BASE,0,0,0,0,0,0,0,0,9.301636999996845,,,,,,,,,,8.291684600000735,8.350137500005076,9.286664300001576,space,0.9229915999894729,None,9.287566400002106,9.301636999996845,0.00579390001075808,10.3336707999988,0.9983570000040345,10.3336707999988,10.3336707999988,12.302135799996904,None,,,,,,,,,pilot08,1,2025-12-30_12h34.43.225,auditory_semantic_1back_pilot,2023.2.3,59.86235250560915,2025-12-30 12h34.58.776884 +0100,
BASE,0,0,0,0,1,0,1,0,12.318466600001557,,,,,,,,,,,,,,,,12.302690800002893,12.318466600001557,0.02141450000635814,13.367187900003046,1.0152934000070672,13.301810599994496,13.301810599994496,15.286029199996847,None,15.301906900000176,15.301906900000176,,,,,,,pilot08,1,2025-12-30_12h34.43.225,auditory_semantic_1back_pilot,2023.2.3,59.86235250560915,2025-12-30 12h34.58.776884 +0100,
BASE,0,0,0,0,2,0,2,0,15.301906900000176,,,,,,,,,,,,,,,,15.286423199999263,15.301906900000176,0.004820100002689287,16.317092400000547,0.9983570000040345,16.317092400000547,16.317092400000547,18.302271599997766,d,,,0.4355803000071319,None,,,,,pilot08,1,2025-12-30_12h34.43.225,auditory_semantic_1back_pilot,2023.2.3,59.86235250560915,2025-12-30 12h34.58.776884 +0100,
BASE,0,0,0,0,3,0,3,0,18.318500499997754,,,,,,,,,,,,,,,,18.303058899997268,18.318500499997754,0.022303300007479265,19.350416899993434,1.0158983000001172,19.302012899992405,19.302012899992405,21.28608659999736,None,21.302028899997822,21.302028899997822,,,,,,,pilot08,1,2025-12-30_12h34.43.225,auditory_semantic_1back_pilot,2023.2.3,59.86235250560915,2025-12-30 12h34.58.776884 +0100,
BASE,0,0,0,0,4,0,4,0,21.302028899997822,,,,,,,,,,,,,,,,21.28646960000333,21.302028899997822,0.00495900001260452,22.317222800003947,0.9986497000063537,22.317222800003947,22.317222800003947,24.302265799997258,None,,,,,,,,,pilot08,1,2025-12-30_12h34.43.225,auditory_semantic_1back_pilot,2023.2.3,59.86235250560915,2025-12-30 12h34.58.776884 +0100,
BASE,0,0,0,0,5,0,5,0,24.318822100001853,,,,,,,,,,,,,,,,24.302680099994177,24.318822100001853,0.020805300009669736,25.350416799992672,1.015737400011858,25.302053399995202,25.302053399995202,27.28751559999364,None,27.317330399993807,27.317330399993807,,,,,,,pilot08,1,2025-12-30_12h34.43.225,auditory_semantic_1back_pilot,2023.2.3,59.86235250560915,2025-12-30 12h34.58.776884 +0100,
BASE,0,0,0,0,6,0,6,0,27.317330399993807,,,,,,,,,,,,,,,,27.28813829999126,27.317330399993807,0.007999300010851584,28.35233199999493,0.999022200005129,28.334088699994027,28.334088699994027,30.30241709999973,None,,,,,,,,,pilot08,1,2025-12-30_12h34.43.225,auditory_semantic_1back_pilot,2023.2.3,59.86235250560915,2025-12-30 12h34.58.776884 +0100,
BASE,0,0,0,0,7,0,7,0,30.318925300001865,,,,,,,,,,,,,,,,30.302821499994025,30.318925300001865,0.021340800012694672,31.319008499995107,1.0156138000020292,31.302108699994278,31.302108699994278,33.28663719999895,None,33.33401609999419,33.33401609999419,,,,,,,pilot08,1,2025-12-30_12h34.43.225,auditory_semantic_1back_pilot,2023.2.3,59.86235250560915,2025-12-30 12h34.58.776884 +0100,
BASE,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot08,1,2025-12-30_12h34.43.225,auditory_semantic_1back_pilot,2023.2.3,59.86235250560915,2025-12-30 12h34.58.776884 +0100,
