block_type,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,wait_for_trigger.started,trigger_key.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,block_start.started,block_instr_text.started,block_start.stopped,block_instr_key.keys,block_instr_key.rt,block_instr_key.duration,trial.started,fixation.started,stim_sound.started,resp.started,resp_prompt.started,fixation.stopped,stim_sound.stopped,resp.stopped,resp_prompt.stopped,trial.stopped,resp.keys,end.started,end_text.started,end_key.started,end.stopped,end_key.keys,end_key.rt,end_key.duration,participant,run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.014858900001854636,0.015428999991854653,0.015450199993210845,0.03317049999895971,20.484373999992386,s,20.437733899991144,None,,,,,,,,,,,,,,,,,,,,,,,,,pilot09,1,2025-12-30_12h37.37.284,auditory_semantic_1back_pilot,2023.2.3,60.10550921309219,2025-12-30 12h37.48.728428 +0100,
BASE,0,0,0,0,0,0,0,0,21.46649979999347,,,,,,,,,,20.48904539999785,20.548492699992494,21.451231400002143,space,0.9006342999928165,None,21.452172100005555,21.46649979999347,0.005906899998080917,22.45036390000314,22.45036390000314,22.46693339999183,0.9993803999968804,24.450036099995486,24.450036099995486,24.434169100000872,None,,,,,,,,pilot09,1,2025-12-30_12h37.37.284,auditory_semantic_1back_pilot,2023.2.3,60.10550921309219,2025-12-30 12h37.48.728428 +0100,
BASE,0,0,0,0,1,0,1,0,24.450036099995486,,,,,,,,,,,,,,,,24.43464340000355,24.467001199998776,0.015389899999718182,25.467285799997626,25.467285799997626,25.467285799997626,1.0162451999931363,27.4669286999997,27.4669286999997,27.45057889999589,None,,,,,,,,pilot09,1,2025-12-30_12h37.37.284,auditory_semantic_1back_pilot,2023.2.3,60.10550921309219,2025-12-30 12h37.48.728428 +0100,
BASE,0,0,0,0,2,0,2,0,27.4669286999997,,,,,,,,,,,,,,,,27.451187899991055,27.4669286999997,0.006551300000865012,28.531940400003805,28.531940400003805,28.531940400003805,0.9985992000001715,,,30.46772279999277,None,,,,,,,,pilot09,1,2025-12-30_12h37.37.284,auditory_semantic_1back_pilot,2023.2.3,60.10550921309219,2025-12-30 12h37.48.728428 +0100,
BASE,0,0,0,0,3,0,3,0,30.49869530000433,,,,,,,,,,,,,,,,30.468483399992692,30.49869530000433,0.026963299998897128,31.46728830000211,31.46728830000211,31.51686659999541,1.0162568999949144,33.46733430000313,33.46733430000313,33.450766199995996,None,,,,,,,,pilot09,1,2025-12-30_12h37.37.284,auditory_semantic_1back_pilot,2023.2.3,60.10550921309219,2025-12-30 12h37.48.728428 +0100,
BASE,0,0,0,0,4,0,4,0,33.46733430000313,,,,,,,,,,,,,,,,33.45114319999993,33.46733430000313,0.004884599999058992,34.48206140000548,34.48206140000548,34.48206140000548,0.9984131999954116,,,36.46715129999211,None,,,,,,,,pilot09,1,2025-12-30_12h37.37.284,auditory_semantic_1back_pilot,2023.2.3,60.10550921309219,2025-12-30 12h37.48.728428 +0100,
BASE,0,0,0,0,5,0,5,0,36.4833185000025,,,,,,,,,,,,,,,,36.46763319999445,36.4833185000025,0.021933999989414588,37.46676260000095,37.46676260000095,37.49884469999233,1.0159317999932682,39.46687780000502,39.46687780000502,39.45115639999858,None,,,,,,,,pilot09,1,2025-12-30_12h37.37.284,auditory_semantic_1back_pilot,2023.2.3,60.10550921309219,2025-12-30 12h37.48.728428 +0100,
BASE,0,0,0,0,6,0,6,0,39.46687780000502,,,,,,,,,,,,,,,,39.451537699991604,39.46687780000502,0.005527299988898449,40.49891480000224,40.49891480000224,40.49891480000224,0.9995181999984197,,,42.46721780000371,None,,,,,,,,pilot09,1,2025-12-30_12h37.37.284,auditory_semantic_1back_pilot,2023.2.3,60.10550921309219,2025-12-30 12h37.48.728428 +0100,
BASE,0,0,0,0,7,0,7,0,42.484038099995814,,,,,,,,,,,,,,,,42.46787730000506,42.484038099995814,0.0226972999953432,43.46715769999719,43.46715769999719,43.548861899995245,1.016235199989751,45.49893040000461,45.49893040000461,45.45219569999608,None,,,,,,,,pilot09,1,2025-12-30_12h37.37.284,auditory_semantic_1back_pilot,2023.2.3,60.10550921309219,2025-12-30 12h37.48.728428 +0100,
BASE,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot09,1,2025-12-30_12h37.37.284,auditory_semantic_1back_pilot,2023.2.3,60.10550921309219,2025-12-30 12h37.48.728428 +0100,
