;polish word;english word; subtlex_pl frequency;Kazojć (2011) frequency;part of speach;Number of Letters;Valence_N;Valence_MIN;Valence_MAX;Valence_M;Valence_SD;arousal_N;arousal_MIN;arousal_MAX;arousal_M;arousal_SD;dominance_N;dominance_MIN;dominance_MAX;dominance_M;dominance_SD;origin_N;origin_MIN;origin_MAX;origin_M;origin_SD;significance_N;significance_MIN;significance_MAX;significance_M;significance_SD;concretness_N;concretness_MIN;concretness_MAX;concretness_M;concretness_SD;imegability_N;imegability_MIN;imegability_MAX;imegability_M;imegability_SD;ageOfAquisition_N;ageOfAquisition_MIN;ageOfAquisition_MAX;ageOfAquisition_M;ageOfAquisition_SD;Valence_N_Female;Valence_MIN_Female;Valence_MAX_Female;Valence_M_Female;Valence_SD_Female;arousal_N_Female;arousal_MIN_Female;arousal_MAX_Female;arousal_M_Female;arousal_SD_Female;dominance_N_Female;dominance_MIN_Female;dominance_MAX_Female;dominance_M_Female;dominance_SD_Female;origin_N_Female;origin_MIN_Female;origin_MAX_Female;origin_M_Female;origin_SD_Female;significance_N_Female;significance_MIN_Female;significance_MAX_Female;significance_M_Female;significance_SD_Female;concretness_N_Female;concretness_MIN_Female;concretness_MAX_Female;concretness_M_Female;concretness_SD_Female;imegability_N_Female;imegability_MIN_Female;imegability_MAX_Female;imegability_M_Female;imegability_SD_Female;ageOfAquisition_N_Female;ageOfAquisition_MIN_Female;ageOfAquisition_MAX_Female;ageOfAquisition_M_Female;ageOfAquisition_SD_Female;Valence_N_Male;Valence_MIN_Male;Valence_MAX_Male;Valence_M_Male;Valence_SD_Male;arousal_N_Male;arousal_MIN_Male;arousal_MAX_Male;arousal_M_Male;arousal_SD_Male;dominance_N_Male;dominance_MIN_Male;dominance_MAX_Male;dominance_M_Male;dominance_SD_Male;origin_N_Male;origin_MIN_Male;origin_MAX_Male;origin_M_Male;origin_SD_Male;significance_N_Male;significance_MIN_Male;significance_MAX_Male;significance_M_Male;significance_SD_Male;concretness_N_Male;concretness_MIN_Male;concretness_MAX_Male;concretness_M_Male;concretness_SD_Male;imegability_N_Male;imegability_MIN_Male;imegability_MAX_Male;imegability_M_Male;imegability_SD_Male;ageOfAquisition_N_Male;ageOfAquisition_MIN_Male;ageOfAquisition_MAX_Male;ageOfAquisition_M_Male;ageOfAquisition_SD_Male
131;belka;beam;72;332;N;5;50;2;8;5,1;0,974155835;50;1;9;3,14;2,10935719;50;1;9;5,08;1,562833638;50;1;9;6,22;1,972153076;50;1;8;2,74;1,935806534;50;1;5;1,44;0,836903915;50;1;9;7,3;1,971739106;50;3;14;8,22;2,894681964;25;2;8;5;1,08012345;25;1;8;3,08;1,956186767;25;1;9;5,04;1,593737745;25;2;9;6,12;1,985782801;25;1;8;3,16;2,339515619;25;1;5;1,4;0,957427108;25;2;9;7,12;2,166410241;25;3;14;8,56;2,739829678;25;4;8;5,2;0,866025404;25;1;9;3,2;2,291287847;25;1;9;5,12;1,563116545;25;1;9;6,32;1,994158135;25;1;6;2,32;1,345362405;25;1;3;1,48;0,714142843;25;1;9;7,48;1,782320585;25;3;14;7,88;3,059411708
173;bęben;drum;228;522;N;5;50;3;8;5,56;1,072095031;50;1;9;3,82;2,135128921;50;1;8;5,52;1,265556262;50;1;9;5,76;2,095281385;50;1;7;2,94;1,867116078;50;1;8;1,44;1,214873807;50;1;9;7,86;1,772925635;49;3;12;7,285714286;2,474873734;25;3;8;5,4;1,118033989;25;1;9;4,36;2,343074903;25;4;8;5,76;0,925562892;25;1;9;5,64;2,138535324;25;1;7;2,84;1,885912688;25;1;8;1,32;1,405939781;25;3;9;7,88;1,691153453;24;3;12;6,916666667;2,586195236;25;5;8;5,72;1,021436896;25;1;7;3,28;1,791647287;25;1;8;5,28;1,514375559;25;1;9;5,88;2,088061302;25;1;7;3,04;1,881488772;25;1;5;1,56;1,003327796;25;1;9;7,84;1,885912688;25;4;12;7,64;2,360790828
220;boa;boa;170;139;ign;3;49;1;8;3,897959184;1,69858885;50;1;9;4,18;2,344685698;50;1;9;5,6;1,927248223;50;1;9;5,66;2,246175889;50;1;6;2,14;1,53875115;50;1;6;1,44;1,072095031;50;1;9;7,62;1,794435844;50;3;18;10,08;3,480792779;24;1;8;3,375;1,883855898;25;1;9;4,36;2,531139401;25;1;8;5,08;2,080064102;25;2;9;6,08;2,119748413;25;1;6;2;1,527525232;25;1;1;1;0;25;3;9;7,6;1,825741858;25;3;18;9,92;3,012750681;25;1;8;4,4;1,354006401;25;1;8;4;2,179449472;25;2;9;6,12;1,641137817;25;1;9;5,24;2,332380758;25;1;6;2,28;1,568438714;25;1;6;1,88;1,394034911;25;1;9;7,64;1,8;25;5;18;10,24;3,950527391
1177;ketchup;ketchup;281;18;N;7;50;3;9;5,86;1,44;50;1;9;3,18;1,98;50;2;9;4,96;1,19;50;1;9;5,7;1,83;50;1;8;3,04;2,29;50;1;7;1,44;1,07;50;1;9;8,1;1,53;50;3;12;6,68;2,33;25;3;9;6,04;1,49;25;1;6;3;1,66;25;2;9;4,96;1,37;25;3;9;6,2;1,41;25;1;8;3,12;2,64;25;1;3;1,08;0,4;25;6;9;8,6;0,71;25;3;10;6,16;2,17;25;3;9;5,68;1,41;25;1;9;3,36;2,27;25;3;8;4,96;1,02;25;1;9;5,2;2,08;25;1;7;2,96;1,95;25;1;7;1,8;1,38;25;1;9;7,6;1,94;25;4;12;7,2;2,42
1394;królik;bunny / rabbit;1084;528;N;6;50;3;8;5,72;0,99;50;1;7;2,98;1,68;50;2;9;4,58;1,7;50;1;9;5,9;1,95;50;1;7;2,7;1,83;50;1;6;1,44;0,95;50;1;9;8,22;1,37;50;3;12;5,88;2,35;25;3;7;5,84;0,94;25;1;6;2,96;1,67;25;2;9;4,64;1,5;25;1;9;6;2;25;1;7;2,6;2,1;25;1;2;1,04;0,2;25;5;9;8,28;1,1;25;3;12;5,76;2,42;25;4;8;5,6;1,04;25;1;7;3;1,73;25;2;9;4,52;1,92;25;1;9;5,8;1,94;25;1;6;2,8;1,55;25;1;6;1,84;1,21;25;1;9;8,16;1,62;25;3;12;6;2,33
1605;łyżka;spoon;209;188;N;5;50;2;8;5,18;0,92;50;1;9;2,86;1,74;50;3;6;4,8;0,7;50;1;9;5,42;2,12;50;1;8;3,32;2,48;50;1;5;1,44;0,86;50;1;9;8,34;1,39;50;3;18;6,52;3,6;25;2;7;5,12;1,05;25;1;6;2,92;1,63;25;3;6;4,88;0,67;25;1;9;5,24;2,28;25;1;8;3,28;2,48;25;1;5;1,28;0,89;25;6;9;8,52;0,87;25;3;18;6,68;4,2;25;4;8;5,24;0,78;25;1;9;2,8;1,87;25;3;6;4,72;0,74;25;1;9;5,6;1,98;25;1;8;3,36;2,53;25;1;3;1,6;0,82;25;1;9;8,16;1,77;25;3;16;6,36;2,96
3781;śruba;bolt;98;138;N;5;50;2;8;5,02;0,77;50;1;9;3,36;2,02;50;2;8;5,28;1,31;50;1;9;6,24;2,03;50;1;8;3,04;2,15;50;1;6;1,44;1,01;50;1;9;7,82;1,79;50;3;15;7,86;2,84;25;4;5;4,88;0,33;25;1;7;3,24;1,98;25;3;8;5,48;1,36;25;1;9;6,24;2,05;25;1;8;3,08;2,29;25;1;2;1,04;0,2;25;4;9;8,16;1,37;25;3;15;8,2;2,83;25;2;8;5,16;1,03;25;1;9;3,48;2,08;25;2;8;5,08;1,26;25;1;9;6,24;2,05;25;1;8;3;2,04;25;1;6;1,84;1,31;25;1;9;7,48;2,1;25;3;15;7,52;2,86
887;gołąb;dove;289;339;N;5;50;1;7;4,96;1,21;50;1;9;3,52;2,39;50;1;8;4,4;1,54;50;1;9;5,22;1,93;50;1;9;3,36;2,48;50;1;7;1,48;1,15;50;1;9;8,14;1,53;50;3;15;7,38;3,09;25;1;7;4,72;1,34;25;1;9;3,48;2,22;25;1;8;4,64;1,66;25;3;9;5,4;1,71;25;1;9;2,76;1,98;25;1;4;1,12;0,6;25;5;9;8,36;1,11;25;3;15;7;3,2;25;3;7;5,2;1,04;25;1;9;3,56;2,6;25;1;8;4,16;1,4;25;1;9;5,04;2,15;25;1;9;3,96;2,81;25;1;7;1,84;1,43;25;1;9;7,92;1,85;25;3;14;7,76;2,99
1278;komar;mosquito;123;133;N;5;50;1;5;2,54;1,18;50;1;8;4,3;2,37;50;1;8;4,04;1,56;50;1;9;5,4;2,37;50;1;9;3,3;2,3;50;1;8;1,48;1,22;49;1;9;8,12;1,64;50;3;16;7,26;3,34;25;1;5;2,32;1,22;25;1;8;4,44;2,5;25;1;8;3,96;1,72;25;1;9;5,64;2,16;25;1;9;3,08;2,4;25;1;8;1,4;1,44;25;3;9;8,2;1,5;25;3;16;6,8;3,12;25;1;5;2,76;1,13;25;1;8;4,16;2,27;25;2;8;4,12;1,42;25;1;9;5,16;2,59;25;1;9;3,52;2,22;25;1;5;1,56;0,96;24;1;9;8,04;1,81;25;4;16;7,72;3,55
3915;tratwa;raft;93;450;N;6;50;3;9;5,52;1,13;50;1;8;3,32;1,96;50;2;8;5,1;1,47;50;1;9;5,92;2,18;50;1;7;2,68;1,77;50;1;6;1,48;1,03;50;1;9;7,68;1,75;50;3;16;8,68;3,1;25;3;7;5,44;1,08;25;1;7;3,24;1,67;25;2;8;5,24;1,71;25;1;9;6,12;2,19;25;1;7;2,64;1,8;25;1;3;1,16;0,55;25;3;9;7,84;1,7;25;3;14;8,32;2,7;25;3;9;5,6;1,19;25;1;8;3,4;2,25;25;2;8;4,96;1,21;25;1;9;5,72;2,21;25;1;7;2,72;1,77;25;1;6;1,8;1,29;25;1;9;7,52;1,83;25;4;16;9,04;3,47
