word,condition,run,stimFile,list_file,nchar,syllables,zipf,concretness_M,Valence_M,arousal_M,imegability_M,zipf_filled
podbródek,CON,1,resources/audio/con_run1_001.wav,con_run1.csv,9.0,3.0,3.26893298658499,1.92,4.98,3.18,7.58,3.26893298658499
rewolwer,CON,1,resources/audio/con_run1_002.wav,con_run1.csv,8.0,3.0,3.60214766562038,1.82,4.32,5.38,7.8,3.60214766562038
telewizor,CON,1,resources/audio/con_run1_003.wav,con_run1.csv,9.0,4.0,4.16782685898333,1.54,5.92,3.7,8.28,4.16782685898333
długopis,CON,1,resources/audio/con_run1_004.wav,con_run1.csv,8.0,3.0,3.88392286199162,1.8,5.68,2.88,8.16,3.88392286199162
piasek,CON,1,resources/audio/con_run1_005.wav,con_run1.csv,6.0,2.0,3.85437305557248,1.96,5.92,3.04,7.9,3.85437305557248
ciasto,CON,1,resources/audio/con_run1_006.wav,con_run1.csv,6.0,2.0,4.28578273066569,1.96,6.94,3.34,7.92,4.28578273066569
kot,CON,1,resources/audio/con_run1_007.wav,con_run1.csv,3.0,1.0,4.34665352515533,1.66,5.8,3.36,8.4,4.34665352515533
mleko,CON,1,resources/audio/con_run1_008.wav,con_run1.csv,5.0,2.0,4.28240299001431,2.0,5.92,2.6,8.06,4.28240299001431
włosy,CON,1,resources/audio/con_run1_009.wav,con_run1.csv,5.0,2.0,4.83150905580006,1.82,6.2,3.38,7.98,4.83150905580006
grzebień,CON,1,resources/audio/con_run1_010.wav,con_run1.csv,8.0,2.0,3.17912331399488,1.82,5.26,3.34,7.96,3.17912331399488
żaba,CON,1,resources/audio/con_run1_011.wav,con_run1.csv,4.0,2.0,3.42383494657074,1.48,5.16,2.9,8.24,3.42383494657074
chleb,CON,1,resources/audio/con_run1_012.wav,con_run1.csv,5.0,1.0,4.13096820665405,1.86,6.44,3.0,8.34,4.13096820665405
cukierki,CON,1,resources/audio/con_run1_013.wav,con_run1.csv,8.0,3.0,3.80311721577433,1.84,7.02,3.72,8.18,3.80311721577433
biodro,CON,1,resources/audio/con_run1_014.wav,con_run1.csv,6.0,2.0,3.26413410370323,1.98,5.12,2.98,7.64,3.26413410370323
wóz,CON,1,resources/audio/con_run1_015.wav,con_run1.csv,3.0,1.0,4.49211597529042,1.92,5.56,3.34,7.5,4.49211597529042
gwóźdź,CON,1,resources/audio/con_run1_016.wav,con_run1.csv,6.0,1.0,3.32692493356268,1.8,4.58,3.94,8.18,3.32692493356268
róża,CON,1,resources/audio/con_run1_017.wav,con_run1.csv,4.0,2.0,3.61667391881697,1.84,6.6,3.68,8.3,3.61667391881697
ziemniaki,CON,1,resources/audio/con_run1_018.wav,con_run1.csv,9.0,3.0,3.78167210051445,1.56,5.8,3.14,8.36,3.78167210051445
drzewo,CON,1,resources/audio/con_run1_019.wav,con_run1.csv,6.0,2.0,4.3117694712176,1.82,6.28,3.08,8.3,4.3117694712176
prysznic,CON,1,resources/audio/con_run1_020.wav,con_run1.csv,8.0,2.0,4.35049393437797,2.0,6.48,3.36,8.14,4.35049393437797
pieprz,CON,1,resources/audio/con_run1_021.wav,con_run1.csv,6.0,1.0,4.38434231321849,1.98,5.36,3.82,7.82,4.38434231321849
pszczoły,CON,1,resources/audio/con_run1_022.wav,con_run1.csv,8.0,2.0,3.66846091103666,2.02,4.92,4.24,7.9,3.66846091103666
ryba,CON,1,resources/audio/con_run1_023.wav,con_run1.csv,4.0,2.0,4.15602243971593,1.84,5.64,3.08,8.12,4.15602243971593
fartuch,CON,1,resources/audio/con_run1_024.wav,con_run1.csv,7.0,2.0,3.37309981433511,1.72,5.04,3.48,7.78,3.37309981433511
wydajność,ABS,1,resources/audio/abs_run1_001.wav,abs_run1.csv,9.0,3.0,3.21298158125584,5.56,6.16,4.14,4.18,3.21298158125584
niepokój,ABS,1,resources/audio/abs_run1_002.wav,abs_run1.csv,8.0,3.0,3.72763999628949,6.46,2.92,5.32,5.52,3.72763999628949
obowiązek,ABS,1,resources/audio/abs_run1_003.wav,abs_run1.csv,9.0,4.0,4.2487447509208,6.36,4.9,4.26,4.94,4.2487447509208
wyspanie,ABS,1,resources/audio/abs_run1_004.wav,abs_run1.csv,8.0,3.0,,5.66,7.54,3.44,5.74,3.85437305557248
jakość,ABS,1,resources/audio/abs_run1_005.wav,abs_run1.csv,6.0,2.0,3.85437305557248,5.82,6.28,3.3,4.34,3.85437305557248
strata,ABS,1,resources/audio/abs_run1_006.wav,abs_run1.csv,6.0,2.0,4.29501855489924,5.58,2.86,5.14,4.78,4.29501855489924
zło,ABS,1,resources/audio/abs_run1_007.wav,abs_run1.csv,3.0,1.0,4.33218246521651,7.04,2.38,6.08,5.36,4.33218246521651
tytuł,ABS,1,resources/audio/abs_run1_008.wav,abs_run1.csv,5.0,2.0,4.2583045600425,4.78,5.62,3.36,5.96,4.2583045600425
miłość,ABS,1,resources/audio/abs_run1_009.wav,abs_run1.csv,6.0,2.0,5.1516055312719,7.5,8.28,6.16,6.54,5.1516055312719
próżność,ABS,1,resources/audio/abs_run1_010.wav,abs_run1.csv,8.0,2.0,3.18879619673736,6.94,3.24,4.56,4.8,3.18879619673736
wada,ABS,1,resources/audio/abs_run1_011.wav,abs_run1.csv,4.0,2.0,3.4293674351707,5.36,3.3,4.12,4.88,3.4293674351707
gniew,ABS,1,resources/audio/abs_run1_012.wav,abs_run1.csv,5.0,1.0,4.12502641090071,6.38,2.46,6.4,6.44,4.12502641090071
przygoda,ABS,1,resources/audio/abs_run1_013.wav,abs_run1.csv,8.0,3.0,3.75497661698325,5.52,7.44,5.12,5.82,3.75497661698325
luksus,ABS,1,resources/audio/abs_run1_014.wav,abs_run1.csv,6.0,2.0,3.26893298658499,5.5,7.04,4.3,6.46,3.26893298658499
moc,ABS,1,resources/audio/abs_run1_015.wav,abs_run1.csv,3.0,1.0,4.77457981255308,6.26,6.76,5.26,5.28,4.77457981255308
triumf,ABS,1,resources/audio/abs_run1_016.wav,abs_run1.csv,6.0,1.0,3.15705279484193,6.06,7.4,5.4,6.18,3.15705279484193
moda,ABS,1,resources/audio/abs_run1_017.wav,abs_run1.csv,4.0,2.0,3.58940644779009,5.42,5.4,4.16,5.88,3.58940644779009
szaleniec,ABS,1,resources/audio/abs_run1_018.wav,abs_run1.csv,9.0,3.0,3.77328682447681,5.24,3.64,5.92,6.42,3.77328682447681
kłopot,ABS,1,resources/audio/abs_run1_019.wav,abs_run1.csv,6.0,2.0,4.27477949868519,5.44,3.3,4.54,5.04,4.27477949868519
przyjaźń,ABS,1,resources/audio/abs_run1_020.wav,abs_run1.csv,8.0,2.0,4.17794795608694,6.68,8.12,4.9,6.26,4.17794795608694
strach,ABS,1,resources/audio/abs_run1_021.wav,abs_run1.csv,6.0,1.0,4.49335125197154,6.16,2.44,5.66,6.02,4.49335125197154
szybkość,ABS,1,resources/audio/abs_run1_022.wav,abs_run1.csv,8.0,2.0,3.71129213504544,5.08,6.16,5.0,6.08,3.71129213504544
wola,ABS,1,resources/audio/abs_run1_023.wav,abs_run1.csv,4.0,2.0,4.09829567476331,6.62,6.04,3.56,3.94,4.09829567476331
rozkosz,ABS,1,resources/audio/abs_run1_024.wav,abs_run1.csv,7.0,2.0,3.37559576650342,6.4,7.94,6.28,6.34,3.37559576650342
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
<BASELINE>,BASE,1,resources/audio/base_run1.wav,base_run1.csv,,,,,,,,
zakreślacz,CON,2,resources/audio/con_run2_001.wav,con_run2.csv,10.0,3.0,,1.88,5.54,3.62,7.9,4.01689369378391
kolano,CON,2,resources/audio/con_run2_002.wav,con_run2.csv,6.0,3.0,3.82664725448545,1.78,4.9,3.16,7.98,3.82664725448545
łazienka,CON,2,resources/audio/con_run2_003.wav,con_run2.csv,8.0,3.0,3.90722105849883,1.76,5.64,2.98,8.0,3.90722105849883
pistolet,CON,2,resources/audio/con_run2_004.wav,con_run2.csv,8.0,3.0,4.51644763836293,1.78,3.92,5.1,7.98,4.51644763836293
autobus,CON,2,resources/audio/con_run2_005.wav,con_run2.csv,7.0,3.0,4.34784901462016,1.6,5.18,3.02,7.9,4.34784901462016
drewno,CON,2,resources/audio/con_run2_006.wav,con_run2.csv,6.0,2.0,3.78989853722105,1.9,5.56,2.94,8.08,3.78989853722105
klejnot,CON,2,resources/audio/con_run2_007.wav,con_run2.csv,7.0,2.0,3.51401157691983,2.02,6.36,4.22,7.52,3.51401157691983
dzbanek,CON,2,resources/audio/con_run2_008.wav,con_run2.csv,7.0,2.0,3.23589086072006,1.84,5.5,3.26,7.96,3.23589086072006
woda,CON,2,resources/audio/con_run2_009.wav,con_run2.csv,4.0,2.0,4.70106202756209,2.04,6.66,2.76,8.2,4.70106202756209
królik,CON,2,resources/audio/con_run2_010.wav,con_run2.csv,6.0,2.0,3.86820007772879,1.44,5.72,2.98,8.22,3.86820007772879
pies,CON,2,resources/audio/con_run2_011.wav,con_run2.csv,4.0,1.0,4.75668756265734,1.55,6.74,3.84,8.3,4.75668756265734
maszyna,CON,2,resources/audio/con_run2_012.wav,con_run2.csv,7.0,3.0,4.19298495283959,1.86,5.26,3.66,7.06,4.19298495283959
kapelusz,CON,2,resources/audio/con_run2_013.wav,con_run2.csv,8.0,3.0,4.2769713284084,1.64,5.5,2.82,7.92,4.2769713284084
gazeta,CON,2,resources/audio/con_run2_014.wav,con_run2.csv,6.0,3.0,3.76218926525853,1.7,5.76,3.0,7.92,3.76218926525853
zegar,CON,2,resources/audio/con_run2_015.wav,con_run2.csv,5.0,2.0,4.05051741280703,1.96,5.12,3.02,8.1,4.05051741280703
sukienka,CON,2,resources/audio/con_run2_016.wav,con_run2.csv,8.0,3.0,4.01689369378391,1.92,6.42,3.88,7.92,4.01689369378391
